fold,outcome,AUC
1,routine_care,0.7514558794739852
2,routine_care,0.7468981736040389
3,routine_care,0.7518226837556761
4,routine_care,0.7505321483156685
5,routine_care,0.7501954381714364
1,cost_barrier,0.8146719504701725
2,cost_barrier,0.8076181393753643
3,cost_barrier,0.8090890931900351
4,cost_barrier,0.8093901506990556
5,cost_barrier,0.8108429954369816
