"Variable","OR","CI_lower","CI_upper","p_value"
"cc_cat21",1.48,1.46,1.51,0
"cc_cat22",2.08,2.03,2.14,0
"cc_cat23+",2.6,2.46,2.75,1.12e-236
"AGEG5YR",1.16,1.16,1.17,0
"SEXVAR",1.51,1.48,1.53,0
"RACE",0.98,0.98,0.99,5.07e-10
"EDUCAG",1.09,1.08,1.09,4.31e-236
"INCOMG1",1.04,1.04,1.05,1.98e-115
"HLTHPL2",0.98,0.96,0.99,0.00752
